37.000000,64.000000,2,21,21
44.000000,44.000000,4,297,297
63.000000,22.000000,4,345,345
94.000000,46.000000,3,297,297
49.000000,29.000000,1,297,297
57.000000,19.000000,3,297,297
90.000000,12.000000,4,345,345
79.000000,38.000000,0,297,297
90.000000,50.000000,2,297,297
47.000000,8.000000,1,137,137
31.000000,16.000000,1,137,137
6.000000,54.000000,3,21,21
96.000000,70.000000,4,96,96
72.000000,9.000000,1,345,345
93.000000,11.000000,3,345,345
11.000000,40.000000,2,137,137
16.000000,70.000000,4,21,21
30.000000,79.000000,3,21,21
7.000000,29.000000,4,137,137
90.000000,11.000000,1,345,345
96.000000,35.000000,1,345,345
21.000000,75.000000,3,21,21
10.000000,67.000000,0,21,21
66.000000,98.000000,3,96,96
66.000000,47.000000,4,297,297
60.000000,85.000000,0,96,96
15.000000,83.000000,1,21,21
97.000000,52.000000,2,297,297
33.000000,24.000000,4,137,137
58.000000,24.000000,4,297,297
29.000000,91.000000,3,21,21
6.000000,77.000000,2,21,21
30.000000,46.000000,4,137,137
38.000000,29.000000,4,137,137
16.000000,73.000000,2,21,21
97.000000,45.000000,2,345,345
98.000000,5.000000,0,345,345
45.000000,29.000000,3,137,137
60.000000,76.000000,3,96,96
24.000000,23.000000,4,137,137
53.000000,96.000000,4,96,96
38.000000,85.000000,3,21,21
28.000000,83.000000,4,21,21
97.000000,73.000000,2,96,96
98.000000,29.000000,2,345,345
63.000000,93.000000,3,96,96
99.000000,59.000000,1,96,96
65.000000,34.000000,3,297,297
92.000000,95.000000,4,96,96
55.000000,31.000000,2,297,297
60.000000,91.000000,2,96,96
52.000000,53.000000,4,297,297
74.000000,39.000000,2,297,297
65.000000,72.000000,4,96,96
38.000000,10.000000,4,137,137
27.000000,17.000000,0,137,137
34.000000,90.000000,4,21,21
91.000000,22.000000,2,345,345
3.000000,89.000000,3,21,21
10.000000,75.000000,0,21,21
92.000000,72.000000,2,96,96
4.000000,56.000000,2,21,21
11.000000,50.000000,2,21,21
58.000000,34.000000,4,297,297
15.000000,46.000000,0,137,137
27.000000,13.000000,2,137,137
58.000000,69.000000,2,96,96
10.000000,52.000000,1,21,21
89.000000,17.000000,4,345,345
60.000000,47.000000,4,297,297
98.000000,39.000000,4,345,345
53.000000,93.000000,3,96,96
85.000000,13.000000,2,345,345
18.000000,27.000000,4,137,137
68.000000,45.000000,3,297,297
10.000000,50.000000,3,21,21
57.000000,36.000000,4,297,297
0.000000,94.000000,4,21,21
34.000000,11.000000,3,137,137
74.000000,31.000000,2,297,297
53.000000,92.000000,4,96,96
81.000000,70.000000,2,96,96
73.000000,44.000000,3,297,297
78.000000,55.000000,3,297,297
1.000000,10.000000,0,137,137
55.000000,69.000000,0,96,96
75.000000,62.000000,2,96,96
78.000000,4.000000,0,345,345
42.000000,85.000000,2,21,21
40.000000,50.000000,3,297,297
15.000000,97.000000,1,21,21
43.000000,20.000000,2,137,137
50.000000,45.000000,2,297,297
51.000000,76.000000,4,96,96
18.000000,38.000000,2,137,137
14.000000,63.000000,2,21,21
72.000000,77.000000,4,96,96
30.000000,84.000000,2,21,21
0.000000,91.000000,3,21,21
65.000000,71.000000,3,96,96
22.000000,44.000000,1,137,137
40.000000,7.000000,4,137,137
89.000000,87.000000,3,96,96
46.000000,85.000000,4,21,21
37.000000,99.000000,1,21,21
63.000000,83.000000,4,96,96
56.000000,24.000000,4,297,297
46.000000,76.000000,4,21,21
79.000000,24.000000,4,345,345
87.000000,33.000000,3,345,345
8.000000,69.000000,1,21,21
59.000000,69.000000,4,96,96
43.000000,1.000000,4,137,137
65.000000,50.000000,3,297,297
66.000000,76.000000,2,96,96
98.000000,87.000000,2,96,96
60.000000,51.000000,1,297,297
53.000000,75.000000,1,96,96
42.000000,35.000000,2,137,137
25.000000,78.000000,2,21,21
54.000000,87.000000,0,96,96
75.000000,1.000000,2,345,345
49.000000,80.000000,3,96,96
69.000000,70.000000,2,96,96
1.000000,80.000000,0,21,21
79.000000,89.000000,4,96,96
46.000000,94.000000,4,96,96
60.000000,48.000000,4,297,297
71.000000,24.000000,4,345,345
93.000000,65.000000,3,96,96
50.000000,31.000000,4,297,297
57.000000,64.000000,4,96,96
63.000000,96.000000,1,96,96
84.000000,28.000000,4,345,345
51.000000,85.000000,4,96,96
82.000000,84.000000,3,96,96
78.000000,44.000000,3,297,297
24.000000,25.000000,3,137,137
40.000000,57.000000,4,21,21
83.000000,51.000000,3,297,297
87.000000,78.000000,2,96,96
6.000000,56.000000,1,21,21
31.000000,93.000000,3,21,21
53.000000,95.000000,2,96,96
48.000000,87.000000,4,96,96
2.000000,45.000000,4,137,137
21.000000,4.000000,4,137,137
77.000000,86.000000,4,96,96
72.000000,48.000000,2,297,297
46.000000,11.000000,3,137,137
18.000000,85.000000,4,21,21
47.000000,36.000000,1,297,297
66.000000,58.000000,4,297,297
74.000000,41.000000,2,297,297
81.000000,76.000000,3,96,96
5.000000,46.000000,4,137,137
42.000000,57.000000,1,297,297
80.000000,26.000000,1,345,345
72.000000,88.000000,2,96,96
57.000000,60.000000,1,297,297
43.000000,96.000000,2,21,21
34.000000,16.000000,4,137,137
9.000000,43.000000,4,137,137
62.000000,97.000000,3,96,96
30.000000,94.000000,3,21,21
62.000000,16.000000,0,345,345
70.000000,66.000000,3,96,96
34.000000,40.000000,0,137,137
30.000000,44.000000,1,137,137
60.000000,54.000000,0,297,297
19.000000,81.000000,4,21,21
44.000000,75.000000,2,21,21
53.000000,77.000000,0,96,96
93.000000,3.000000,3,345,345
16.000000,40.000000,3,137,137
61.000000,2.000000,0,345,345
8.000000,3.000000,2,137,137
60.000000,79.000000,0,96,96
74.000000,18.000000,2,345,345
86.000000,22.000000,2,345,345
22.000000,35.000000,3,137,137
20.000000,85.000000,2,21,21
82.000000,19.000000,2,345,345
97.000000,48.000000,3,297,297
57.000000,60.000000,4,297,297
58.000000,98.000000,2,96,96
69.000000,28.000000,2,297,297
69.000000,79.000000,4,96,96
5.000000,60.000000,2,21,21
5.000000,83.000000,3,21,21
96.000000,85.000000,4,96,96
5.000000,79.000000,4,21,21
42.000000,22.000000,0,137,137
27.000000,75.000000,3,21,21
17.000000,48.000000,2,137,137
20.000000,18.000000,4,137,137
1.000000,57.000000,4,21,21
99.000000,57.000000,4,96,96
63.000000,32.000000,2,297,297
22.000000,21.000000,3,137,137
47.000000,70.000000,3,96,96
24.000000,43.000000,3,137,137
69.000000,46.000000,1,297,297
32.000000,4.000000,2,137,137
2.000000,21.000000,2,137,137
69.000000,13.000000,3,345,345
16.000000,77.000000,2,21,21
77.000000,26.000000,3,345,345
30.000000,40.000000,4,137,137
90.000000,49.000000,1,297,297
97.000000,78.000000,4,96,96
18.000000,29.000000,2,137,137
17.000000,37.000000,1,137,137
32.000000,48.000000,0,137,137
44.000000,20.000000,2,137,137
42.000000,32.000000,0,137,137
60.000000,34.000000,1,297,297
27.000000,70.000000,0,21,21
5.000000,76.000000,2,21,21
70.000000,77.000000,3,96,96
90.000000,1.000000,1,345,345
6.000000,18.000000,4,137,137
20.000000,95.000000,4,21,21
77.000000,5.000000,1,345,345
64.000000,82.000000,2,96,96
6.000000,83.000000,4,21,21
21.000000,57.000000,2,21,21
65.000000,28.000000,3,297,297
28.000000,6.000000,3,137,137
14.000000,83.000000,3,21,21
38.000000,4.000000,4,137,137
15.000000,54.000000,4,21,21
83.000000,1.000000,2,345,345
41.000000,73.000000,1,21,21
2.000000,29.000000,1,137,137
7.000000,50.000000,3,21,21
94.000000,58.000000,2,96,96
85.000000,34.000000,4,345,345
83.000000,57.000000,4,96,96
21.000000,74.000000,3,21,21
99.000000,8.000000,3,345,345
58.000000,60.000000,3,297,297
0.000000,20.000000,2,137,137
87.000000,54.000000,4,297,297
27.000000,78.000000,1,21,21
53.000000,13.000000,1,345,345
77.000000,57.000000,4,297,297
62.000000,40.000000,4,297,297
87.000000,79.000000,0,96,96
7.000000,98.000000,0,21,21
34.000000,52.000000,0,21,21
27.000000,44.000000,4,137,137
85.000000,53.000000,4,297,297
46.000000,72.000000,1,21,21
35.000000,53.000000,4,21,21
31.000000,84.000000,3,21,21
66.000000,42.000000,1,297,297
85.000000,81.000000,2,96,96
16.000000,32.000000,3,137,137
66.000000,38.000000,1,297,297
21.000000,64.000000,2,21,21
16.000000,16.000000,4,137,137
14.000000,16.000000,0,137,137
84.000000,23.000000,3,345,345
47.000000,61.000000,2,297,297
66.000000,81.000000,4,96,96
41.000000,9.000000,4,137,137
89.000000,73.000000,3,96,96
86.000000,23.000000,4,345,345
61.000000,15.000000,0,345,345
33.000000,62.000000,0,21,21
25.000000,36.000000,3,137,137
31.000000,23.000000,3,137,137
71.000000,91.000000,2,96,96
71.000000,15.000000,3,345,345
24.000000,73.000000,1,21,21
21.000000,2.000000,4,137,137
50.000000,19.000000,1,137,137
95.000000,15.000000,3,345,345
86.000000,55.000000,3,297,297
2.000000,20.000000,1,137,137
4.000000,41.000000,3,137,137
70.000000,37.000000,4,297,297
37.000000,34.000000,4,137,137
28.000000,15.000000,2,137,137
83.000000,50.000000,3,297,297
31.000000,52.000000,4,21,21
13.000000,82.000000,2,21,21
7.000000,30.000000,4,137,137
36.000000,75.000000,0,21,21
12.000000,61.000000,4,21,21
63.000000,42.000000,4,297,297
52.000000,16.000000,4,137,137
27.000000,11.000000,0,137,137
4.000000,8.000000,1,137,137
9.000000,34.000000,2,137,137
6.000000,44.000000,4,137,137
63.000000,44.000000,3,297,297
41.000000,7.000000,2,137,137
2.000000,0.000000,2,137,137
96.000000,93.000000,4,96,96
45.000000,86.000000,3,21,21
51.000000,94.000000,0,96,96
95.000000,55.000000,1,96,96
2.000000,99.000000,4,21,21
54.000000,44.000000,4,297,297
18.000000,80.000000,3,21,21
40.000000,66.000000,4,21,21
43.000000,47.000000,0,297,297
54.000000,16.000000,2,345,345
65.000000,15.000000,3,345,345
97.000000,4.000000,2,345,345
73.000000,97.000000,1,96,96
87.000000,27.000000,3,345,345
66.000000,23.000000,4,345,345
85.000000,35.000000,3,345,345
27.000000,58.000000,2,21,21
39.000000,99.000000,3,21,21
79.000000,53.000000,2,297,297
45.000000,89.000000,1,21,21
61.000000,10.000000,3,345,345
38.000000,44.000000,4,137,137
32.000000,62.000000,1,21,21
82.000000,96.000000,1,96,96
31.000000,14.000000,3,137,137
91.000000,33.000000,4,345,345
6.000000,93.000000,3,21,21
87.000000,17.000000,2,345,345
18.000000,80.000000,2,21,21
42.000000,19.000000,2,137,137
54.000000,43.000000,3,297,297
54.000000,46.000000,3,297,297
50.000000,43.000000,2,297,297
56.000000,14.000000,4,345,345
63.000000,33.000000,1,297,297
81.000000,66.000000,3,96,96
10.000000,87.000000,1,21,21
72.000000,83.000000,4,96,96
6.000000,9.000000,3,137,137
7.000000,0.000000,3,137,137
89.000000,6.000000,1,345,345
5.000000,97.000000,4,21,21
2.000000,91.000000,4,21,21
52.000000,30.000000,4,297,297
6.000000,1.000000,1,137,137
83.000000,14.000000,4,345,345
21.000000,10.000000,3,137,137
51.000000,79.000000,1,96,96
18.000000,61.000000,0,21,21
31.000000,36.000000,4,137,137
35.000000,92.000000,1,21,21
50.000000,25.000000,2,297,297
21.000000,74.000000,0,21,21
91.000000,81.000000,2,96,96
38.000000,3.000000,1,137,137
15.000000,63.000000,3,21,21
72.000000,45.000000,1,297,297
73.000000,93.000000,0,96,96
17.000000,28.000000,4,137,137
29.000000,66.000000,4,21,21
21.000000,28.000000,2,137,137
59.000000,19.000000,2,345,345
49.000000,85.000000,1,96,96
41.000000,24.000000,1,137,137
82.000000,41.000000,1,297,297
62.000000,12.000000,1,345,345
35.000000,4.000000,2,137,137
8.000000,50.000000,2,21,21
86.000000,62.000000,4,96,96
85.000000,48.000000,2,297,297
10.000000,50.000000,1,21,21
12.000000,55.000000,4,21,21
2.000000,6.000000,3,137,137
97.000000,80.000000,2,96,96
2.000000,75.000000,4,21,21
98.000000,8.000000,1,345,345
35.000000,37.000000,0,137,137
52.000000,33.000000,2,297,297
21.000000,35.000000,0,137,137
27.000000,27.000000,4,137,137
37.000000,69.000000,1,21,21
95.000000,62.000000,3,96,96
78.000000,39.000000,4,297,297
88.000000,52.000000,3,297,297
88.000000,56.000000,4,96,96
1.000000,0.000000,3,137,137
15.000000,70.000000,4,21,21
1.000000,22.000000,1,137,137
57.000000,42.000000,1,297,297
22.000000,52.000000,1,21,21
44.000000,87.000000,4,21,21
23.000000,84.000000,3,21,21
14.000000,84.000000,2,21,21
40.000000,22.000000,4,137,137
42.000000,73.000000,2,21,21
83.000000,92.000000,4,96,96
15.000000,37.000000,1,137,137
38.000000,6.000000,4,137,137
30.000000,50.000000,1,137,137
46.000000,77.000000,2,21,21
47.000000,36.000000,4,297,297
51.000000,25.000000,4,297,297
81.000000,96.000000,1,96,96
34.000000,84.000000,1,21,21
71.000000,97.000000,2,96,96
53.000000,82.000000,3,96,96
50.000000,25.000000,1,297,297
95.000000,68.000000,4,96,96
29.000000,28.000000,4,137,137
37.000000,94.000000,4,21,21
61.000000,62.000000,3,297,297
17.000000,5.000000,3,137,137
82.000000,63.000000,1,96,96
51.000000,63.000000,0,297,297
49.000000,66.000000,0,96,96
88.000000,10.000000,4,345,345
40.000000,11.000000,4,137,137
99.000000,4.000000,3,345,345
98.000000,88.000000,3,96,96
26.000000,69.000000,3,21,21
17.000000,17.000000,4,137,137
84.000000,95.000000,1,96,96
61.000000,42.000000,3,297,297
34.000000,45.000000,4,137,137
32.000000,54.000000,1,21,21
66.000000,29.000000,3,297,297
24.000000,82.000000,3,21,21
17.000000,63.000000,3,21,21
56.000000,57.000000,2,297,297
73.000000,39.000000,4,297,297
69.000000,78.000000,3,96,96
97.000000,37.000000,4,345,345
54.000000,58.000000,1,297,297
51.000000,6.000000,4,345,345
2.000000,81.000000,2,21,21
83.000000,57.000000,2,96,96
41.000000,55.000000,4,297,297
98.000000,86.000000,0,96,96
7.000000,66.000000,4,21,21
79.000000,51.000000,4,297,297
23.000000,73.000000,0,21,21
37.000000,25.000000,4,137,137
74.000000,40.000000,2,297,297
56.000000,32.000000,0,297,297
50.000000,19.000000,2,137,137
95.000000,33.000000,2,345,345
0.000000,83.000000,1,21,21
36.000000,83.000000,4,21,21
54.000000,58.000000,1,297,297
30.000000,95.000000,3,21,21
31.000000,28.000000,0,137,137
51.000000,54.000000,4,297,297
72.000000,92.000000,4,96,96
16.000000,88.000000,4,21,21
95.000000,22.000000,0,345,345
82.000000,32.000000,4,345,345
88.000000,23.000000,1,345,345
4.000000,43.000000,4,137,137
5.000000,4.000000,0,137,137
74.000000,40.000000,0,297,297
59.000000,53.000000,1,297,297
39.000000,91.000000,2,21,21
4.000000,50.000000,2,21,21
40.000000,48.000000,4,297,297
34.000000,6.000000,1,137,137
14.000000,17.000000,3,137,137
17.000000,75.000000,2,21,21
93.000000,12.000000,4,345,345
64.000000,2.000000,0,345,345
50.000000,20.000000,4,137,137
97.000000,83.000000,2,96,96
76.000000,2.000000,2,345,345
99.000000,68.000000,1,96,96
24.000000,18.000000,3,137,137
12.000000,3.000000,2,137,137
51.000000,75.000000,4,96,96
23.000000,15.000000,3,137,137
44.000000,74.000000,1,21,21
2.000000,60.000000,4,21,21
1.000000,87.000000,2,21,21
80.000000,87.000000,3,96,96
1.000000,42.000000,4,137,137
92.000000,70.000000,2,96,96
26.000000,20.000000,3,137,137
56.000000,10.000000,4,345,345
49.000000,16.000000,1,137,137
75.000000,63.000000,4,96,96
76.000000,7.000000,1,345,345
97.000000,12.000000,4,345,345
66.000000,94.000000,0,96,96
43.000000,24.000000,1,137,137
61.000000,49.000000,1,297,297
46.000000,47.000000,3,297,297
3.000000,92.000000,4,21,21
79.000000,75.000000,1,96,96
39.000000,40.000000,2,137,137
84.000000,81.000000,2,96,96
37.000000,92.000000,0,21,21
69.000000,31.000000,1,297,297
17.000000,74.000000,1,21,21
